date,height[m],error[m],dataset,ID,name,location,continent,country,longitude,latitude
1996-08-22,361.92,0.000636597232737,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-09-01,362.108,0.0003668694961837,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-09-11,362.214,0.0003334549106932,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-09-20,362.263,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-09-30,362.347,0.0002396012334823,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-10-20,362.529,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-10-30,362.52,0.0002609946929029,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-11-09,362.58,0.0003315739767566,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-11-19,362.387,0.0002576791105471,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-11-29,362.38,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-12-19,362.306,0.0004180661594635,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1996-12-29,362.277,0.0003068757104053,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-01-08,362.277,0.0003835725092954,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-01-17,362.255,0.0004695284705612,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-02-06,362.32,0.0004482912237495,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-02-16,362.002,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-02-26,361.994,0.0004368005388013,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-03-08,361.858,0.000301894669105,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-03-18,361.828,0.0003422766771323,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-03-28,361.764,0.0002578507421643,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-04-11,362.019,0.000452400053383,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-04-17,361.833,8.627604402009758e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-04-27,361.879,0.0002167317092227,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-05-07,361.915,0.000399614407336,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-05-16,362.009,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-06-15,361.968,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-06-25,361.886,0.0005467554890769,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-07-05,361.97,0.0005296560256359,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-07-15,361.969,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-07-25,362.039,0.0001065689419526,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-08-04,362.278,0.0269983597849286,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-08-24,362.144,0.0002091509207952,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-09-12,362.208,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-09-22,362.283,0.0002889126105151,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-10-03,362.318,4.756352618110653e-05,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-10-12,362.23,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-10-22,362.275,0.0002878941410208,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-11-01,362.384,0.0001362272558797,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-11-11,362.608,0.0004824797921948,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-12-01,363.144,0.0008430726234225,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-12-11,363.358,0.0,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-12-21,363.522,0.0004049126484081,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
1997-12-30,363.538,0.001136616676956,OP,29,"Turkana, Lake",None,Africa,ke,36.052,3.7606
